job_id,width,group_id,member_seed_list,data_seed,target_images_seen,p_targets_images_seen,base_dir,save_dir,wandb_group,experiment_name
0,128,0,"[522738146, 744544402, 70181394, 897048258]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w128/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_128/group_0,exchangeability,exchangeability_w128_g0
1,128,1,"[729689002, 468613489, 837985476, 84353789]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w128/g1,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_128/group_1,exchangeability,exchangeability_w128_g1
2,128,2,"[277302572, 148990797, 728062308, 31997221]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w128/g2,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_128/group_2,exchangeability,exchangeability_w128_g2
3,128,3,"[193372238, 949792641, 884223011, 944423015]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w128/g3,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_128/group_3,exchangeability,exchangeability_w128_g3
4,256,0,"[973040102, 781562453]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w256/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_256/group_0,exchangeability,exchangeability_w256_g0
5,256,1,"[290855317, 632656414]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w256/g1,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_256/group_1,exchangeability,exchangeability_w256_g1
6,256,2,"[710823599, 697158682]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w256/g2,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_256/group_2,exchangeability,exchangeability_w256_g2
7,256,3,"[242605880, 799925855]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w256/g3,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_256/group_3,exchangeability,exchangeability_w256_g3
8,256,4,"[653085299, 267361492]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w256/g4,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_256/group_4,exchangeability,exchangeability_w256_g4
9,256,5,"[540531945, 785474501]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w256/g5,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_256/group_5,exchangeability,exchangeability_w256_g5
10,256,6,"[143977116, 915917832]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w256/g6,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_256/group_6,exchangeability,exchangeability_w256_g6
11,256,7,"[431805713, 756018414]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w256/g7,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_256/group_7,exchangeability,exchangeability_w256_g7
12,32,0,"[715001277, 401312319, 436099789, 623759397]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w32/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_32/group_0,exchangeability,exchangeability_w32_g0
13,32,1,"[368960203, 239803029, 581216309, 855863477]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w32/g1,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_32/group_1,exchangeability,exchangeability_w32_g1
