job_id,dataset,run_id,optimizer,eta_0,width,group_id,member_seed_list,data_seed,target_images_seen,p_targets_images_seen,base_dir,save_dir,wandb_group,experiment_name
0,cifar5m,exchangeability_cifar5m_muon_lr_tuning_w64_r00,muon,0.0002,64,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_muon_lr_tuning/w64/r00/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_muon_lr_tuning_w64_r00/width_64/group_0,exchangeability_cifar5m_muon_lr_tuning_w64_r00,cifar5m_exchangeability_muon_lr_tuning_w64_r00_g0
1,cifar5m,exchangeability_cifar5m_muon_lr_tuning_w64_r01,muon,0.0004,64,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_muon_lr_tuning/w64/r01/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_muon_lr_tuning_w64_r01/width_64/group_0,exchangeability_cifar5m_muon_lr_tuning_w64_r01,cifar5m_exchangeability_muon_lr_tuning_w64_r01_g0
2,cifar5m,exchangeability_cifar5m_muon_lr_tuning_w64_r02,muon,0.0008,64,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_muon_lr_tuning/w64/r02/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_muon_lr_tuning_w64_r02/width_64/group_0,exchangeability_cifar5m_muon_lr_tuning_w64_r02,cifar5m_exchangeability_muon_lr_tuning_w64_r02_g0
3,cifar5m,exchangeability_cifar5m_muon_lr_tuning_w64_r03,muon,0.0016,64,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_muon_lr_tuning/w64/r03/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_muon_lr_tuning_w64_r03/width_64/group_0,exchangeability_cifar5m_muon_lr_tuning_w64_r03,cifar5m_exchangeability_muon_lr_tuning_w64_r03_g0
4,cifar5m,exchangeability_cifar5m_muon_lr_tuning_w64_r04,muon,0.0032,64,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_muon_lr_tuning/w64/r04/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_muon_lr_tuning_w64_r04/width_64/group_0,exchangeability_cifar5m_muon_lr_tuning_w64_r04,cifar5m_exchangeability_muon_lr_tuning_w64_r04_g0
5,cifar5m,exchangeability_cifar5m_muon_lr_tuning_w64_r05,muon,0.0064,64,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_muon_lr_tuning/w64/r05/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_muon_lr_tuning_w64_r05/width_64/group_0,exchangeability_cifar5m_muon_lr_tuning_w64_r05,cifar5m_exchangeability_muon_lr_tuning_w64_r05_g0
6,cifar5m,exchangeability_cifar5m_muon_lr_tuning_w64_r06,muon,0.0128,64,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_muon_lr_tuning/w64/r06/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_muon_lr_tuning_w64_r06/width_64/group_0,exchangeability_cifar5m_muon_lr_tuning_w64_r06,cifar5m_exchangeability_muon_lr_tuning_w64_r06_g0
7,cifar5m,exchangeability_cifar5m_muon_lr_tuning_w64_r07,muon,0.0256,64,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_muon_lr_tuning/w64/r07/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_muon_lr_tuning_w64_r07/width_64/group_0,exchangeability_cifar5m_muon_lr_tuning_w64_r07,cifar5m_exchangeability_muon_lr_tuning_w64_r07_g0
8,cifar5m,exchangeability_cifar5m_muon_lr_tuning_w64_r08,muon,0.0512,64,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_muon_lr_tuning/w64/r08/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_muon_lr_tuning_w64_r08/width_64/group_0,exchangeability_cifar5m_muon_lr_tuning_w64_r08,cifar5m_exchangeability_muon_lr_tuning_w64_r08_g0
9,cifar5m,exchangeability_cifar5m_muon_lr_tuning_w64_r09,muon,0.1024,64,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_muon_lr_tuning/w64/r09/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_muon_lr_tuning_w64_r09/width_64/group_0,exchangeability_cifar5m_muon_lr_tuning_w64_r09,cifar5m_exchangeability_muon_lr_tuning_w64_r09_g0
