job_id,dataset,run_id,width,group_id,member_seed_list,data_seed,target_images_seen,p_targets_images_seen,base_dir,save_dir,wandb_group,experiment_name
0,cifar5m,exchangeability_cifar5m_sgd,128,0,"[668883499, 296790867, 585980505, 500364737]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w128/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_128/group_0,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w128_g0
1,cifar5m,exchangeability_cifar5m_sgd,128,1,"[186943827, 903118528, 418708550, 582313944]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w128/g1,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_128/group_1,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w128_g1
2,cifar5m,exchangeability_cifar5m_sgd,128,2,"[22560856, 26791805, 995324136, 865950574]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w128/g2,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_128/group_2,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w128_g2
3,cifar5m,exchangeability_cifar5m_sgd,128,3,"[183848017, 637231031, 200288122, 882738233]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w128/g3,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_128/group_3,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w128_g3
4,cifar5m,exchangeability_cifar5m_sgd,256,0,"[995921292, 264737622]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w256/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_256/group_0,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w256_g0
5,cifar5m,exchangeability_cifar5m_sgd,256,1,"[844150973, 37773910]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w256/g1,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_256/group_1,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w256_g1
6,cifar5m,exchangeability_cifar5m_sgd,256,2,"[530537331, 988758684]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w256/g2,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_256/group_2,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w256_g2
7,cifar5m,exchangeability_cifar5m_sgd,256,3,"[844476124, 75707206]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w256/g3,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_256/group_3,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w256_g3
8,cifar5m,exchangeability_cifar5m_sgd,256,4,"[411453920, 927832606]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w256/g4,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_256/group_4,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w256_g4
9,cifar5m,exchangeability_cifar5m_sgd,256,5,"[284966570, 660552789]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w256/g5,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_256/group_5,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w256_g5
