job_id,run_id,model,optimizer,N,seed,lr,eta_muon,d,M,M_ratio,gamma0,batch_size,target_seed,p_min,p_max,p_num,p_targets,eval_batch_size
0,toy_lin3_sgd_N128_s0_lr0.01,lin3,sgd,128,0,0.01,,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
1,toy_lin3_sgd_N128_s0_lr0.03,lin3,sgd,128,0,0.03,,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
2,toy_lin3_sgd_N128_s0_lr0.1,lin3,sgd,128,0,0.1,,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
3,toy_lin3_sgd_N128_s0_lr0.3,lin3,sgd,128,0,0.3,,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
4,toy_lin3_sgd_N128_s0_lr1,lin3,sgd,128,0,1.0,,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
5,toy_lin3_muon_N128_s0_eta0.0005,lin3,muon,128,0,0.1,0.0005,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
6,toy_lin3_muon_N128_s0_eta0.001,lin3,muon,128,0,0.1,0.001,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
7,toy_lin3_muon_N128_s0_eta0.002,lin3,muon,128,0,0.1,0.002,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
8,toy_lin3_muon_N128_s0_eta0.004,lin3,muon,128,0,0.1,0.004,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
9,toy_lin3_sgd_N128_s1_lr0.01,lin3,sgd,128,1,0.01,,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
10,toy_lin3_sgd_N128_s1_lr0.03,lin3,sgd,128,1,0.03,,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
11,toy_lin3_sgd_N128_s1_lr0.1,lin3,sgd,128,1,0.1,,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
12,toy_lin3_sgd_N128_s1_lr0.3,lin3,sgd,128,1,0.3,,512,8,0.0,1.0,1024,4242,20000,16384000,20,"0,20480,28672,40960,58368,82944,117760,166912,237568,337920,480256,683008,972800,1384448,1970176,2804736,3991552,5681152,8086528,11510784,16384000",8192
