job_id,run_id,model,optimizer,N,seed,lr,eta_muon,d,M,gamma0,batch_size,target_seed,p_min,p_max,p_num,p_targets,eval_batch_size
0,toy_lin3_sgd_N128_s0_lr0.003,lin3,sgd,128,0,0.003,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
1,toy_lin3_muon_N128_s0_eta0.003,lin3,muon,128,0,0.004,0.003,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
2,toy_lin3_sgd_N128_s0_lr0.01,lin3,sgd,128,0,0.01,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
3,toy_lin3_muon_N128_s0_eta0.01,lin3,muon,128,0,0.004,0.01,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
4,toy_lin3_sgd_N128_s0_lr0.03,lin3,sgd,128,0,0.03,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
5,toy_lin3_muon_N128_s0_eta0.03,lin3,muon,128,0,0.004,0.03,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
6,toy_lin3_sgd_N128_s0_lr0.1,lin3,sgd,128,0,0.1,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
7,toy_lin3_muon_N128_s0_eta0.1,lin3,muon,128,0,0.004,0.1,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
8,toy_nonlin2_sgd_N128_s0_lr0.003,nonlin2,sgd,128,0,0.003,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
9,toy_nonlin2_muon_N128_s0_eta0.003,nonlin2,muon,128,0,0.1,0.003,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
10,toy_nonlin2_sgd_N128_s0_lr0.01,nonlin2,sgd,128,0,0.01,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
11,toy_nonlin2_muon_N128_s0_eta0.01,nonlin2,muon,128,0,0.1,0.01,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
12,toy_nonlin2_sgd_N128_s0_lr0.03,nonlin2,sgd,128,0,0.03,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
13,toy_nonlin2_muon_N128_s0_eta0.03,nonlin2,muon,128,0,0.1,0.03,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
14,toy_nonlin2_sgd_N128_s0_lr0.1,nonlin2,sgd,128,0,0.1,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
15,toy_nonlin2_muon_N128_s0_eta0.1,nonlin2,muon,128,0,0.1,0.1,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
16,toy_nonlin3_sgd_N128_s0_lr0.003,nonlin3,sgd,128,0,0.003,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
17,toy_nonlin3_muon_N128_s0_eta0.003,nonlin3,muon,128,0,0.1,0.003,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
18,toy_nonlin3_sgd_N128_s0_lr0.01,nonlin3,sgd,128,0,0.01,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
19,toy_nonlin3_muon_N128_s0_eta0.01,nonlin3,muon,128,0,0.1,0.01,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
20,toy_nonlin3_sgd_N128_s0_lr0.03,nonlin3,sgd,128,0,0.03,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
21,toy_nonlin3_muon_N128_s0_eta0.03,nonlin3,muon,128,0,0.1,0.03,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
22,toy_nonlin3_sgd_N128_s0_lr0.1,nonlin3,sgd,128,0,0.1,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
23,toy_nonlin3_muon_N128_s0_eta0.1,nonlin3,muon,128,0,0.1,0.1,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
