job_id,run_id,model,optimizer,N,seed,lr,eta_muon,d,M,gamma0,batch_size,target_seed,p_min,p_max,p_num,p_targets,eval_batch_size
0,toy_nonlin2_sgd_N128_s0_lr10,nonlin2,sgd,128,0,10.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
1,toy_nonlin2_sgd_N128_s0_lr30,nonlin2,sgd,128,0,30.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
2,toy_nonlin2_muon_N128_s0_eta0.0015,nonlin2,muon,128,0,0.3,0.0015,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
3,toy_nonlin2_muon_N128_s0_eta0.0022,nonlin2,muon,128,0,0.3,0.0022,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
4,toy_nonlin2_sgd_N1024_s0_lr10,nonlin2,sgd,1024,0,10.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
5,toy_nonlin2_sgd_N1024_s0_lr30,nonlin2,sgd,1024,0,30.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
6,toy_nonlin2_muon_N1024_s0_eta0.0015,nonlin2,muon,1024,0,0.3,0.0015,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
7,toy_nonlin2_muon_N1024_s0_eta0.0022,nonlin2,muon,1024,0,0.3,0.0022,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
8,toy_nonlin3_muon_N128_s0_eta0.0015,nonlin3,muon,128,0,0.3,0.0015,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
9,toy_nonlin3_muon_N128_s0_eta0.0022,nonlin3,muon,128,0,0.3,0.0022,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
10,toy_nonlin3_muon_N1024_s0_eta0.0015,nonlin3,muon,1024,0,0.3,0.0015,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
11,toy_nonlin3_muon_N1024_s0_eta0.0022,nonlin3,muon,1024,0,0.3,0.0022,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
